"","trial_type","trial_num","number_targets","number_pairs","response_pairs"
"1","image-keyboard-response",1,"8.png","2.png","m"
"2","image-keyboard-response",2,"9_R.png","3_R.png","z"
"3","image-keyboard-response",3,"9.png","3.png","m"
"4","image-keyboard-response",4,"6.png","2.png","m"
"5","image-keyboard-response",5,"6_R.png","2_R.png","m"
"6","image-keyboard-response",6,"4.png","2.png","z"
"7","image-keyboard-response",7,"10_R.png","4_R.png","m"
"8","image-keyboard-response",8,"5_R.png","1_R.png","z"
"9","image-keyboard-response",9,"8_R.png","2_R.png","m"
"10","image-keyboard-response",10,"7_R.png","1_R.png","m"
"11","image-keyboard-response",11,"1.png","1.png","z"
"12","image-keyboard-response",12,"2_R.png","2_R.png","m"
"13","image-keyboard-response",13,"12.png","4.png","z"
"14","image-keyboard-response",14,"10.png","4.png","m"
"15","image-keyboard-response",15,"11_R.png","3_R.png","z"
"16","image-keyboard-response",16,"2_R_confound.png","4_R.png","z"
"17","image-keyboard-response",17,"4_R.png","2_R.png","m"
"18","image-keyboard-response",18,"3_confound.png","3.png","m"
"19","image-keyboard-response",19,"11.png","3.png","z"
"20","image-keyboard-response",20,"1_R.png","1_R.png","m"
"21","image-keyboard-response",21,"1_R_confound.png","3_R.png","m"
"22","image-keyboard-response",22,"7.png","1.png","z"
"23","image-keyboard-response",23,"5.png","1.png","m"
"24","image-keyboard-response",24,"2_confound.png","4.png","m"
"25","image-keyboard-response",25,"2.png","2.png","m"
"26","image-keyboard-response",26,"3_R.png","1_R.png","m"
"27","image-keyboard-response",27,"4_R_confound.png","4_R.png","m"
"28","image-keyboard-response",28,"4_confound.png","4.png","z"
"29","image-keyboard-response",29,"12_R.png","4_R.png","m"
"30","image-keyboard-response",30,"1_confound.png","3.png","m"
"31","image-keyboard-response",31,"3_R_confound.png","3_R.png","z"
"32","image-keyboard-response",32,"3.png","1.png","z"
