"","trial_type","stimulus","response"
"1","image-keyboard-response","targets/4.png","null"
"2","image-keyboard-response","pairs/2.png","m"
"3","image-keyboard-response","targets/8_R.png","null"
"4","image-keyboard-response","pairs/2_R.png","z"
"5","image-keyboard-response","targets/1_R.png","null"
"6","image-keyboard-response","pairs/1_R.png","m"
"7","image-keyboard-response","targets/3_R.png","null"
"8","image-keyboard-response","pairs/1_R.png","z"
"9","image-keyboard-response","targets/10_R.png","null"
"10","image-keyboard-response","pairs/4_R.png","z"
"11","image-keyboard-response","targets/10.png","null"
"12","image-keyboard-response","pairs/4.png","m"
"13","image-keyboard-response","targets/7_R.png","null"
"14","image-keyboard-response","pairs/1_R.png","m"
"15","image-keyboard-response","targets/9_R.png","null"
"16","image-keyboard-response","pairs/3_R.png","m"
"17","image-keyboard-response","targets/6_R.png","null"
"18","image-keyboard-response","pairs/2_R.png","z"
"19","image-keyboard-response","targets/1_confound.png","null"
"20","image-keyboard-response","pairs/3.png","z"
"21","image-keyboard-response","targets/2.png","null"
"22","image-keyboard-response","pairs/2.png","m"
"23","image-keyboard-response","targets/2_R.png","null"
"24","image-keyboard-response","pairs/2_R.png","z"
"25","image-keyboard-response","targets/9.png","null"
"26","image-keyboard-response","pairs/3.png","m"
"27","image-keyboard-response","targets/4_R_confound.png","null"
"28","image-keyboard-response","pairs/4_R.png","z"
"29","image-keyboard-response","targets/5.png","null"
"30","image-keyboard-response","pairs/1.png","m"
"31","image-keyboard-response","targets/4_R.png","null"
"32","image-keyboard-response","pairs/2_R.png","m"
"33","image-keyboard-response","targets/1_R_confound.png","null"
"34","image-keyboard-response","pairs/3_R.png","m"
"35","image-keyboard-response","targets/3_confound.png","null"
"36","image-keyboard-response","pairs/3.png","m"
"37","image-keyboard-response","targets/6.png","null"
"38","image-keyboard-response","pairs/2.png","m"
"39","image-keyboard-response","targets/5_R.png","null"
"40","image-keyboard-response","pairs/1_R.png","z"
"41","image-keyboard-response","targets/11_R.png","null"
"42","image-keyboard-response","pairs/3_R.png","m"
"43","image-keyboard-response","targets/2_confound.png","null"
"44","image-keyboard-response","pairs/4.png","m"
"45","image-keyboard-response","targets/3_R_confound.png","null"
"46","image-keyboard-response","pairs/3_R.png","z"
"47","image-keyboard-response","targets/3.png","null"
"48","image-keyboard-response","pairs/1.png","z"
"49","image-keyboard-response","targets/2_R_confound.png","null"
"50","image-keyboard-response","pairs/4_R.png","z"
"51","image-keyboard-response","targets/12.png","null"
"52","image-keyboard-response","pairs/4.png","z"
"53","image-keyboard-response","targets/8.png","null"
"54","image-keyboard-response","pairs/2.png","z"
"55","image-keyboard-response","targets/4_confound.png","null"
"56","image-keyboard-response","pairs/4.png","z"
"57","image-keyboard-response","targets/12_R.png","null"
"58","image-keyboard-response","pairs/4_R.png","m"
"59","image-keyboard-response","targets/11.png","null"
"60","image-keyboard-response","pairs/3.png","m"
"61","image-keyboard-response","targets/1.png","null"
"62","image-keyboard-response","pairs/1.png","m"
"63","image-keyboard-response","targets/7.png","null"
"64","image-keyboard-response","pairs/1.png","z"
