"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"6.png","2.png","z"
"2",2,"6_R.png","2_R.png","m"
"3",3,"8_R.png","2_R.png","z"
"4",4,"4_R.png","2_R.png","z"
"5",5,"7.png","1.png","m"
"6",6,"1_R.png","1_R.png","m"
"7",7,"10_R.png","4_R.png","m"
"8",8,"3_R.png","1_R.png","z"
"9",9,"5_R.png","1_R.png","m"
"10",10,"7_R.png","1_R.png","z"
"11",11,"8.png","2.png","m"
"12",12,"5.png","1.png","z"
"13",13,"4.png","2.png","m"
"14",14,"2_R.png","2_R.png","m"
"15",15,"10.png","4.png","z"
"16",16,"12_R.png","4_R.png","z"
"17",17,"9.png","3.png","m"
"18",18,"3.png","1.png","m"
"19",19,"11_R.png","3_R.png","m"
"20",20,"11.png","3.png","z"
"21",21,"1.png","1.png","z"
"22",22,"12.png","4.png","m"
"23",23,"2.png","2.png","z"
"24",24,"9_R.png","3_R.png","z"
