"","trial_type","stimulus","response","left_image","right_image","correct_response","correct"
"1","bouba-kiki","PracSounds/2.wav","audiovolumeup","[""PracImgs/2.png""]","[""PracImgs/5.png""]","z","false"
"2","bouba-kiki","PracSounds/8.wav","audiovolumeup","[""PracImgs/8.png""]","[""PracImgs/7.png""]","z","false"
"3","bouba-kiki","PracSounds/1.wav","z","[""PracImgs/1.png""]","[""PracImgs/4.png""]","z","true"
"4","bouba-kiki","PracSounds/6.wav","audiovolumeup","[""PracImgs/3.png""]","[""PracImgs/6.png""]","m","false"
"5","bouba-kiki","PracSounds/7.wav","null","[""PracImgs/6.png""]","[""PracImgs/7.png""]","m",""
"6","bouba-kiki","PracSounds/3.wav","null","[""PracImgs/3.png""]","[""PracImgs/1.png""]","z",""
"7","bouba-kiki","PracSounds/4.wav","null","[""PracImgs/8.png""]","[""PracImgs/4.png""]","m",""
"8","bouba-kiki","PracSounds/2.wav","m","[""PracImgs/5.png""]","[""PracImgs/2.png""]","m","true"
"9","bouba-kiki","PracSounds/8.wav","z","[""PracImgs/8.png""]","[""PracImgs/6.png""]","z","true"
"10","bouba-kiki","PracSounds/2.wav","z","[""PracImgs/2.png""]","[""PracImgs/1.png""]","z","true"
"11","bouba-kiki","PracSounds/4.wav","m","[""PracImgs/7.png""]","[""PracImgs/4.png""]","m","true"
