"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"11.png","3.png","m"
"2",2,"5_R.png","1_R.png","z"
"3",3,"12_R.png","4_R.png","m"
"4",4,"7_R.png","1_R.png","m"
"5",5,"12.png","4.png","z"
"6",6,"10.png","4.png","m"
"7",7,"4_R.png","2_R.png","m"
"8",8,"2_R.png","2_R.png","z"
"9",9,"9.png","3.png","z"
"10",10,"3.png","1.png","z"
"11",11,"8.png","2.png","z"
"12",12,"4.png","2.png","z"
"13",13,"1.png","1.png","m"
"14",14,"6_R.png","2_R.png","z"
"15",15,"11_R.png","3_R.png","z"
"16",16,"2.png","2.png","z"
"17",17,"7.png","1.png","z"
"18",18,"8_R.png","2_R.png","m"
"19",19,"1_R.png","1_R.png","z"
"20",20,"9_R.png","3_R.png","m"
"21",21,"5.png","1.png","m"
"22",22,"6.png","2.png","m"
"23",23,"3_R.png","1_R.png","m"
"24",24,"10_R.png","4_R.png","z"
