"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"8.png","2.png","m"
"2",2,"9_R.png","3_R.png","z"
"3",3,"9.png","3.png","m"
"4",4,"6.png","2.png","m"
"5",5,"6_R.png","2_R.png","m"
"6",6,"4.png","2.png","z"
"7",7,"10_R.png","4_R.png","m"
"8",8,"5_R.png","1_R.png","z"
"9",9,"8_R.png","2_R.png","m"
"10",10,"7_R.png","1_R.png","m"
"11",11,"1.png","1.png","z"
"12",12,"2_R.png","2_R.png","m"
"13",13,"12.png","4.png","z"
"14",14,"10.png","4.png","m"
"15",15,"11_R.png","3_R.png","z"
"16",16,"2_R_confound.png","4_R.png","z"
"17",17,"4_R.png","2_R.png","m"
"18",18,"3_confound.png","3.png","m"
"19",19,"11.png","3.png","z"
"20",20,"1_R.png","1_R.png","m"
"21",21,"1_R_confound.png","3_R.png","m"
"22",22,"7.png","1.png","z"
"23",23,"5.png","1.png","m"
"24",24,"2_confound.png","4.png","m"
"25",25,"2.png","2.png","m"
"26",26,"3_R.png","1_R.png","m"
"27",27,"4_R_confound.png","4_R.png","m"
"28",28,"4_confound.png","4.png","z"
"29",29,"12_R.png","4_R.png","m"
"30",30,"1_confound.png","3.png","m"
"31",31,"3_R_confound.png","3_R.png","z"
"32",32,"3.png","1.png","z"
