"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"5_R.png","1_R.png","m"
"2",2,"9.png","3.png","m"
"3",3,"3.png","1.png","m"
"4",4,"7.png","1.png","m"
"5",5,"2.png","2.png","z"
"6",6,"10.png","4.png","z"
"7",7,"8_R.png","2_R.png","z"
"8",8,"6_R.png","2_R.png","m"
"9",9,"12_R.png","4_R.png","z"
"10",10,"10_R.png","4_R.png","m"
"11",11,"11_R.png","3_R.png","m"
"12",12,"8.png","2.png","m"
"13",13,"7_R.png","1_R.png","z"
"14",14,"4.png","2.png","m"
"15",15,"12.png","4.png","m"
"16",16,"1_R.png","1_R.png","m"
"17",17,"2_R.png","2_R.png","m"
"18",18,"9_R.png","3_R.png","z"
"19",19,"4_R.png","2_R.png","z"
"20",20,"5.png","1.png","z"
"21",21,"1.png","1.png","z"
"22",22,"6.png","2.png","z"
"23",23,"11.png","3.png","z"
"24",24,"3_R.png","1_R.png","z"
