"","trial_type","stimulus","response"
"1","image-keyboard-response","img/3-241.png","m"
"2","image-keyboard-response","img/3-132.png","z"
"3","image-keyboard-response","img/3-341.png","m"
"4","image-keyboard-response","img/1-241.png","z"
"5","image-keyboard-response","img/2-214.png","m"
"6","image-keyboard-response","img/1-214.png","z"
"7","image-keyboard-response","img/2-123.png","m"
"8","image-keyboard-response","img/2-314.png","z"
"9","image-keyboard-response","img/2-423.png","z"
"10","image-keyboard-response","img/2-241.png","m"
"11","image-keyboard-response","img/2-341.png","z"
"12","image-keyboard-response","img/1-341.png","m"
"13","image-keyboard-response","img/1-314.png","z"
"14","image-keyboard-response","img/2-432.png","m"
"15","image-keyboard-response","img/3-423.png","z"
"16","image-keyboard-response","img/3-432.png","m"
"17","image-keyboard-response","img/2-132.png","z"
"18","image-keyboard-response","img/1-123.png","m"
"19","image-keyboard-response","img/1-423.png","z"
"20","image-keyboard-response","img/3-314.png","m"
"21","image-keyboard-response","img/3-123.png","z"
"22","image-keyboard-response","img/1-132.png","z"
"23","image-keyboard-response","img/3-214.png","m"
"24","image-keyboard-response","img/1-432.png","z"
