"","trial_type","stimulus","response","image"
"1","image-keyboard-response","targets/7.png","null","[""targets/7.png""]"
"2","image-keyboard-response","pairs/1.png","z","[""pairs/1.png""]"
"3","image-keyboard-response","targets/9_R.png","null","[""targets/9_R.png""]"
"4","image-keyboard-response","pairs/3_R.png","m","[""pairs/3_R.png""]"
"5","image-keyboard-response","targets/3_R.png","null","[""targets/3_R.png""]"
"6","image-keyboard-response","pairs/1_R.png","m","[""pairs/1_R.png""]"
"7","image-keyboard-response","targets/11_R.png","null","[""targets/11_R.png""]"
"8","image-keyboard-response","pairs/3_R.png","z","[""pairs/3_R.png""]"
"9","image-keyboard-response","targets/1_R.png","null","[""targets/1_R.png""]"
"10","image-keyboard-response","pairs/1_R.png","m","[""pairs/1_R.png""]"
"11","image-keyboard-response","targets/8.png","null","[""targets/8.png""]"
"12","image-keyboard-response","pairs/2.png","z","[""pairs/2.png""]"
"13","image-keyboard-response","targets/10_R.png","null","[""targets/10_R.png""]"
"14","image-keyboard-response","pairs/4_R.png","z","[""pairs/4_R.png""]"
"15","image-keyboard-response","targets/2_R.png","null","[""targets/2_R.png""]"
"16","image-keyboard-response","pairs/2_R.png","m","[""pairs/2_R.png""]"
"17","image-keyboard-response","targets/7_R.png","null","[""targets/7_R.png""]"
"18","image-keyboard-response","pairs/1_R.png","z","[""pairs/1_R.png""]"
"19","image-keyboard-response","targets/4.png","null","[""targets/4.png""]"
"20","image-keyboard-response","pairs/2.png","z","[""pairs/2.png""]"
"21","image-keyboard-response","targets/6_R.png","null","[""targets/6_R.png""]"
"22","image-keyboard-response","pairs/2_R.png","z","[""pairs/2_R.png""]"
"23","image-keyboard-response","targets/12_R.png","null","[""targets/12_R.png""]"
"24","image-keyboard-response","pairs/4_R.png","m","[""pairs/4_R.png""]"
"25","image-keyboard-response","targets/1.png","null","[""targets/1.png""]"
"26","image-keyboard-response","pairs/1.png","z","[""pairs/1.png""]"
"27","image-keyboard-response","targets/11.png","null","[""targets/11.png""]"
"28","image-keyboard-response","pairs/3.png","m","[""pairs/3.png""]"
"29","image-keyboard-response","targets/6.png","null","[""targets/6.png""]"
"30","image-keyboard-response","pairs/2.png","m","[""pairs/2.png""]"
"31","image-keyboard-response","targets/5.png","null","[""targets/5.png""]"
"32","image-keyboard-response","pairs/1.png","z","[""pairs/1.png""]"
"33","image-keyboard-response","targets/8_R.png","null","[""targets/8_R.png""]"
"34","image-keyboard-response","pairs/2_R.png","m","[""pairs/2_R.png""]"
"35","image-keyboard-response","targets/2.png","null","[""targets/2.png""]"
"36","image-keyboard-response","pairs/2.png","z","[""pairs/2.png""]"
"37","image-keyboard-response","targets/9.png","null","[""targets/9.png""]"
"38","image-keyboard-response","pairs/3.png","m","[""pairs/3.png""]"
"39","image-keyboard-response","targets/3.png","null","[""targets/3.png""]"
"40","image-keyboard-response","pairs/1.png","z","[""pairs/1.png""]"
"41","image-keyboard-response","targets/10.png","null","[""targets/10.png""]"
"42","image-keyboard-response","pairs/4.png","m","[""pairs/4.png""]"
"43","image-keyboard-response","targets/12.png","null","[""targets/12.png""]"
"44","image-keyboard-response","pairs/4.png","m","[""pairs/4.png""]"
"45","image-keyboard-response","targets/5_R.png","null","[""targets/5_R.png""]"
"46","image-keyboard-response","pairs/1_R.png","z","[""pairs/1_R.png""]"
"47","image-keyboard-response","targets/4_R.png","null","[""targets/4_R.png""]"
"48","image-keyboard-response","pairs/2_R.png","m","[""pairs/2_R.png""]"
