"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"9.png","3.png","m"
"2",2,"12_R.png","4_R.png","z"
"3",3,"3_R.png","1_R.png","z"
"4",4,"8.png","2.png","m"
"5",5,"4.png","2.png","m"
"6",6,"6_R.png","2_R.png","m"
"7",7,"12.png","4.png","m"
"8",8,"2_R.png","2_R.png","m"
"9",9,"3.png","1.png","m"
"10",10,"11.png","3.png","z"
"11",11,"9_R.png","3_R.png","z"
"12",12,"7.png","1.png","m"
"13",13,"6.png","2.png","z"
"14",14,"10.png","4.png","z"
"15",15,"11_R.png","3_R.png","m"
"16",16,"2.png","2.png","z"
"17",17,"8_R.png","2_R.png","z"
"18",18,"10_R.png","4_R.png","m"
"19",19,"5.png","1.png","z"
"20",20,"1_R.png","1_R.png","m"
"21",21,"7_R.png","1_R.png","z"
"22",22,"1.png","1.png","z"
"23",23,"4_R.png","2_R.png","z"
"24",24,"5_R.png","1_R.png","m"
