"","X","trial_type","stimulus","response","left_image","right_image","correct_response","correct","sound","vowel_type","congruent","voicing","ID"
"1",1,"bouba-kiki","sound/LALA.wav","z","[""img/kiki_7_S.png""]","[""img/bouba_7_S.png""]","z",1,"angular","/a/","incongruent","voiced","bkp004"
"2",2,"bouba-kiki","sound/lili.wav","z","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L.png""]","m",0,"angular","/i/","congruent","voiced","bkp004"
"3",3,"bouba-kiki","sound/titi.wav","m","[""img/bouba_7_S.png""]","[""img/kiki_7_S.png""]","m",1,"angular","/i/","congruent","unvoiced","bkp004"
"4",4,"bouba-kiki","sound/MAMA.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","m",0,"curved","/a/","congruent","voiced","bkp004"
"5",5,"bouba-kiki","sound/lili.wav","z","[""img/bouba_7_S.png""]","[""img/kiki_7_S_R.png""]","m",0,"angular","/i/","congruent","voiced","bkp004"
"6",6,"bouba-kiki","sound/sisi.wav","z","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S_R.png""]","m",0,"curved","/i/","incongruent","unvoiced","bkp004"
"7",7,"bouba-kiki","sound/FAFA.wav","m","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L.png""]","m",1,"curved","/a/","congruent","unvoiced","bkp004"
"8",8,"bouba-kiki","sound/titi.wav","z","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","m",0,"angular","/i/","congruent","unvoiced","bkp004"
"9",9,"bouba-kiki","sound/fifi.wav","z","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S.png""]","z",1,"curved","/i/","incongruent","unvoiced","bkp004"
"10",10,"bouba-kiki","sound/DADA.wav","m","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S.png""]","m",1,"curved","/a/","congruent","voiced","bkp004"
"11",11,"bouba-kiki","sound/KAKA.wav","z","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","m",0,"angular","/a/","incongruent","unvoiced","bkp004"
"12",12,"bouba-kiki","sound/sisi.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L_R.png""]","m",0,"curved","/i/","incongruent","unvoiced","bkp004"
"13",13,"bouba-kiki","sound/mimi.wav","z","[""img/bouba_7_S.png""]","[""img/kiki_7_S_R.png""]","z",1,"curved","/i/","incongruent","voiced","bkp004"
"14",14,"bouba-kiki","sound/KAKA.wav","z","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","m",0,"angular","/a/","incongruent","unvoiced","bkp004"
"15",15,"bouba-kiki","sound/FAFA.wav","m","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S_R.png""]","m",1,"curved","/a/","congruent","unvoiced","bkp004"
"16",16,"bouba-kiki","sound/kiki.wav","z","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L.png""]","m",0,"angular","/i/","congruent","unvoiced","bkp004"
"17",17,"bouba-kiki","sound/DADA.wav","m","[""img/bouba_7_L.png""]","[""img/kiki_7_L.png""]","z",0,"curved","/a/","congruent","voiced","bkp004"
"18",18,"bouba-kiki","sound/mimi.wav","m","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","m",1,"curved","/i/","incongruent","voiced","bkp004"
"19",19,"bouba-kiki","sound/SASA.wav","z","[""img/bouba_7_S.png""]","[""img/kiki_7_S_R.png""]","z",1,"curved","/a/","congruent","unvoiced","bkp004"
"20",20,"bouba-kiki","sound/KAKA.wav","m","[""img/kiki_7_S.png""]","[""img/bouba_7_S.png""]","z",0,"angular","/a/","incongruent","unvoiced","bkp004"
"21",21,"bouba-kiki","sound/fifi.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","m",0,"curved","/i/","incongruent","unvoiced","bkp004"
"22",22,"bouba-kiki","sound/didi.wav","z","[""img/bouba_7_S.png""]","[""img/kiki_7_S_R.png""]","z",1,"curved","/i/","incongruent","voiced","bkp004"
"23",23,"bouba-kiki","sound/MAMA.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","m",0,"curved","/a/","congruent","voiced","bkp004"
"24",24,"bouba-kiki","sound/mimi.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L.png""]","m",0,"curved","/i/","incongruent","voiced","bkp004"
"25",25,"bouba-kiki","sound/ZAZA.wav","z","[""img/bouba_7_L.png""]","[""img/kiki_7_L_R.png""]","m",0,"angular","/a/","incongruent","voiced","bkp004"
"26",26,"bouba-kiki","sound/kiki.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","z",1,"angular","/i/","congruent","unvoiced","bkp004"
"27",1,"bouba-kiki","sound/SASA.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L_R.png""]","m",0,"curved","/a/","congruent","unvoiced","bkp008"
"28",2,"bouba-kiki","sound/sisi.wav","z","[""img/kiki_7_S.png""]","[""img/bouba_7_S_R.png""]","m",0,"curved","/i/","incongruent","unvoiced","bkp008"
"29",3,"bouba-kiki","sound/zizi.wav","m","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","m",1,"angular","/i/","congruent","voiced","bkp008"
"30",4,"bouba-kiki","sound/TATA.wav","m","[""img/bouba_7_S.png""]","[""img/kiki_7_S.png""]","m",1,"angular","/a/","incongruent","unvoiced","bkp008"
"31",5,"bouba-kiki","sound/kiki.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","z",1,"angular","/i/","congruent","unvoiced","bkp008"
"32",6,"bouba-kiki","sound/ZAZA.wav","m","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","z",0,"angular","/a/","incongruent","voiced","bkp008"
"33",7,"bouba-kiki","sound/fifi.wav","m","[""img/bouba_7_L.png""]","[""img/kiki_7_L.png""]","z",0,"curved","/i/","incongruent","unvoiced","bkp008"
"34",8,"bouba-kiki","sound/KAKA.wav","m","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","z",0,"angular","/a/","incongruent","unvoiced","bkp008"
"35",9,"bouba-kiki","sound/kiki.wav","m","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L_R.png""]","m",1,"angular","/i/","congruent","unvoiced","bkp008"
"36",10,"bouba-kiki","sound/sisi.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L.png""]","m",0,"curved","/i/","incongruent","unvoiced","bkp008"
"37",11,"bouba-kiki","sound/MAMA.wav","z","[""img/bouba_7_L.png""]","[""img/kiki_7_L_R.png""]","z",1,"curved","/a/","congruent","voiced","bkp008"
"38",12,"bouba-kiki","sound/zizi.wav","z","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S.png""]","z",1,"angular","/i/","congruent","voiced","bkp008"
"39",13,"bouba-kiki","sound/didi.wav","z","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","z",1,"curved","/i/","incongruent","voiced","bkp008"
"40",14,"bouba-kiki","sound/FAFA.wav","z","[""img/kiki_7_S.png""]","[""img/bouba_7_S_R.png""]","m",0,"curved","/a/","congruent","unvoiced","bkp008"
"41",15,"bouba-kiki","sound/fifi.wav","z","[""img/bouba_7_L.png""]","[""img/kiki_7_L_R.png""]","z",1,"curved","/i/","incongruent","unvoiced","bkp008"
"42",16,"bouba-kiki","sound/LALA.wav","z","[""img/kiki_7_S.png""]","[""img/bouba_7_S_R.png""]","z",1,"angular","/a/","incongruent","voiced","bkp008"
"43",17,"bouba-kiki","sound/lili.wav","z","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L_R.png""]","m",0,"angular","/i/","congruent","voiced","bkp008"
"44",18,"bouba-kiki","sound/DADA.wav","z","[""img/bouba_7_S.png""]","[""img/kiki_7_S_R.png""]","z",1,"curved","/a/","congruent","voiced","bkp008"
"45",19,"bouba-kiki","sound/KAKA.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","z",1,"angular","/a/","incongruent","unvoiced","bkp008"
"46",20,"bouba-kiki","sound/sisi.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L.png""]","m",0,"curved","/i/","incongruent","unvoiced","bkp008"
"47",21,"bouba-kiki","sound/TATA.wav","z","[""img/bouba_7_L.png""]","[""img/kiki_7_L.png""]","m",0,"angular","/a/","incongruent","unvoiced","bkp008"
"48",22,"bouba-kiki","sound/SASA.wav","z","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L.png""]","z",1,"curved","/a/","congruent","unvoiced","bkp008"
"49",23,"bouba-kiki","sound/kiki.wav","z","[""img/kiki_7_S.png""]","[""img/bouba_7_S.png""]","z",1,"angular","/i/","congruent","unvoiced","bkp008"
"50",24,"bouba-kiki","sound/LALA.wav","z","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L.png""]","m",0,"angular","/a/","incongruent","voiced","bkp008"
"51",25,"bouba-kiki","sound/zizi.wav","z","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L.png""]","m",0,"angular","/i/","congruent","voiced","bkp008"
"52",26,"bouba-kiki","sound/DADA.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L_R.png""]","m",0,"curved","/a/","congruent","voiced","bkp008"
"53",27,"bouba-kiki","sound/TATA.wav","m","[""img/bouba_7_S.png""]","[""img/kiki_7_S.png""]","m",1,"angular","/a/","incongruent","unvoiced","bkp008"
"54",28,"bouba-kiki","sound/mimi.wav","m","[""img/kiki_7_L.png""]","[""img/bouba_7_L_R.png""]","m",1,"curved","/i/","incongruent","voiced","bkp008"
"55",29,"bouba-kiki","sound/ZAZA.wav","m","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S_R.png""]","z",0,"angular","/a/","incongruent","voiced","bkp008"
"56",30,"bouba-kiki","sound/KAKA.wav","m","[""img/bouba_7_L.png""]","[""img/kiki_7_L_R.png""]","m",1,"angular","/a/","incongruent","unvoiced","bkp008"
"57",31,"bouba-kiki","sound/titi.wav","m","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S.png""]","z",0,"angular","/i/","congruent","unvoiced","bkp008"
"58",32,"bouba-kiki","sound/didi.wav","m","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L.png""]","m",1,"curved","/i/","incongruent","voiced","bkp008"
"59",33,"bouba-kiki","sound/ZAZA.wav","z","[""img/bouba_7_L.png""]","[""img/kiki_7_L.png""]","m",0,"angular","/a/","incongruent","voiced","bkp008"
"60",34,"bouba-kiki","sound/SASA.wav","z","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S_R.png""]","m",0,"curved","/a/","congruent","unvoiced","bkp008"
"61",35,"bouba-kiki","sound/sisi.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","m",0,"curved","/i/","incongruent","unvoiced","bkp008"
"62",36,"bouba-kiki","sound/lili.wav","z","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","m",0,"angular","/i/","congruent","voiced","bkp008"
"63",37,"bouba-kiki","sound/MAMA.wav","m","[""img/kiki_7_S.png""]","[""img/bouba_7_S.png""]","m",1,"curved","/a/","congruent","voiced","bkp008"
"64",38,"bouba-kiki","sound/mimi.wav","m","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S.png""]","z",0,"curved","/i/","incongruent","voiced","bkp008"
"65",39,"bouba-kiki","sound/SASA.wav","z","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S.png""]","m",0,"curved","/a/","congruent","unvoiced","bkp008"
"66",40,"bouba-kiki","sound/TATA.wav","m","[""img/bouba_7_S.png""]","[""img/kiki_7_S_R.png""]","m",1,"angular","/a/","incongruent","unvoiced","bkp008"
"67",41,"bouba-kiki","sound/lili.wav","m","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S_R.png""]","z",0,"angular","/i/","congruent","voiced","bkp008"
"68",42,"bouba-kiki","sound/FAFA.wav","m","[""img/bouba_7_L.png""]","[""img/kiki_7_L_R.png""]","z",0,"curved","/a/","congruent","unvoiced","bkp008"
"69",43,"bouba-kiki","sound/lili.wav","m","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","z",0,"angular","/i/","congruent","voiced","bkp008"
"70",44,"bouba-kiki","sound/FAFA.wav","m","[""img/bouba_7_S.png""]","[""img/kiki_7_S.png""]","z",0,"curved","/a/","congruent","unvoiced","bkp008"
"71",45,"bouba-kiki","sound/didi.wav","m","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S_R.png""]","m",1,"curved","/i/","incongruent","voiced","bkp008"
"72",46,"bouba-kiki","sound/KAKA.wav","m","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S.png""]","m",1,"angular","/a/","incongruent","unvoiced","bkp008"
"73",47,"bouba-kiki","sound/titi.wav","m","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S.png""]","z",0,"angular","/i/","congruent","unvoiced","bkp008"
"74",48,"bouba-kiki","sound/titi.wav","m","[""img/bouba_7_S.png""]","[""img/kiki_7_S_R.png""]","m",1,"angular","/i/","congruent","unvoiced","bkp008"
"75",49,"bouba-kiki","sound/LALA.wav","m","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S.png""]","m",1,"angular","/a/","incongruent","voiced","bkp008"
"76",50,"bouba-kiki","sound/mimi.wav","m","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","m",1,"curved","/i/","incongruent","voiced","bkp008"
"77",51,"bouba-kiki","sound/kiki.wav","m","[""img/kiki_7_S.png""]","[""img/bouba_7_S.png""]","z",0,"angular","/i/","congruent","unvoiced","bkp008"
"78",52,"bouba-kiki","sound/MAMA.wav","m","[""img/bouba_7_L.png""]","[""img/kiki_7_L.png""]","z",0,"curved","/a/","congruent","voiced","bkp008"
"79",53,"bouba-kiki","sound/DADA.wav","m","[""img/kiki_7_L.png""]","[""img/bouba_7_L_R.png""]","m",1,"curved","/a/","congruent","voiced","bkp008"
"80",54,"bouba-kiki","sound/fifi.wav","m","[""img/bouba_7_S.png""]","[""img/kiki_7_S_R.png""]","z",0,"curved","/i/","incongruent","unvoiced","bkp008"
"81",55,"bouba-kiki","sound/didi.wav","m","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L_R.png""]","z",0,"curved","/i/","incongruent","voiced","bkp008"
"82",56,"bouba-kiki","sound/ZAZA.wav","m","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","z",0,"angular","/a/","incongruent","voiced","bkp008"
"83",57,"bouba-kiki","sound/titi.wav","m","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S.png""]","m",1,"angular","/i/","congruent","unvoiced","bkp008"
"84",58,"bouba-kiki","sound/DADA.wav","m","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L.png""]","z",0,"curved","/a/","congruent","voiced","bkp008"
"85",59,"bouba-kiki","sound/mimi.wav","m","[""img/kiki_7_S.png""]","[""img/bouba_7_S_R.png""]","m",1,"curved","/i/","incongruent","voiced","bkp008"
"86",60,"bouba-kiki","sound/FAFA.wav","m","[""img/bouba_7_S.png""]","[""img/kiki_7_S.png""]","z",0,"curved","/a/","congruent","unvoiced","bkp008"
"87",61,"bouba-kiki","sound/fifi.wav","m","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","z",0,"curved","/i/","incongruent","unvoiced","bkp008"
"88",62,"bouba-kiki","sound/MAMA.wav","m","[""img/kiki_7_S.png""]","[""img/bouba_7_S.png""]","m",1,"curved","/a/","congruent","voiced","bkp008"
"89",63,"bouba-kiki","sound/LALA.wav","m","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L.png""]","z",0,"angular","/a/","incongruent","voiced","bkp008"
"90",64,"bouba-kiki","sound/zizi.wav","m","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L_R.png""]","m",1,"angular","/i/","congruent","voiced","bkp008"
"91",1,"bouba-kiki","sound/sisi.wav","m","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L.png""]","z",0,"curved","/i/","incongruent","unvoiced","bkp009"
"92",2,"bouba-kiki","sound/mimi.wav","m","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","m",1,"curved","/i/","incongruent","voiced","bkp009"
"93",3,"bouba-kiki","sound/MAMA.wav","m","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","m",1,"curved","/a/","congruent","voiced","bkp009"
"94",4,"bouba-kiki","sound/fifi.wav","z","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L_R.png""]","z",1,"curved","/i/","incongruent","unvoiced","bkp009"
"95",5,"bouba-kiki","sound/DADA.wav","z","[""img/kiki_7_S.png""]","[""img/bouba_7_S.png""]","m",0,"curved","/a/","congruent","voiced","bkp009"
"96",6,"bouba-kiki","sound/fifi.wav","m","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","m",1,"curved","/i/","incongruent","unvoiced","bkp009"
"97",7,"bouba-kiki","sound/FAFA.wav","m","[""img/bouba_7_L.png""]","[""img/kiki_7_L.png""]","z",0,"curved","/a/","congruent","unvoiced","bkp009"
"98",8,"bouba-kiki","sound/titi.wav","m","[""img/bouba_7_L.png""]","[""img/kiki_7_L_R.png""]","m",1,"angular","/i/","congruent","unvoiced","bkp009"
"99",9,"bouba-kiki","sound/MAMA.wav","m","[""img/kiki_7_S.png""]","[""img/bouba_7_S.png""]","m",1,"curved","/a/","congruent","voiced","bkp009"
"100",10,"bouba-kiki","sound/KAKA.wav","m","[""img/bouba_7_S.png""]","[""img/kiki_7_S.png""]","m",1,"angular","/a/","incongruent","unvoiced","bkp009"
"101",11,"bouba-kiki","sound/sisi.wav","m","[""img/bouba_7_L.png""]","[""img/kiki_7_L.png""]","z",0,"curved","/i/","incongruent","unvoiced","bkp009"
"102",12,"bouba-kiki","sound/lili.wav","m","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S.png""]","z",0,"angular","/i/","congruent","voiced","bkp009"
"103",13,"bouba-kiki","sound/TATA.wav","z","[""img/kiki_7_S.png""]","[""img/bouba_7_S_R.png""]","z",1,"angular","/a/","incongruent","unvoiced","bkp009"
