"","trial_type","stimulus","response","left_image","right_image","correct_response","correct"
"1","bouba-kiki","PracSounds/5.wav","z","[""PracImgs/7.png""]","[""PracImgs/5.png""]","m","false"
"2","bouba-kiki","PracSounds/2.wav","z","[""PracImgs/2.png""]","[""PracImgs/3.png""]","z","true"
"3","bouba-kiki","PracSounds/8.wav","m","[""PracImgs/4.png""]","[""PracImgs/8.png""]","m","true"
"4","bouba-kiki","PracSounds/1.wav","m","[""PracImgs/6.png""]","[""PracImgs/1.png""]","m","true"
"5","bouba-kiki","PracSounds/4.wav","x","[""PracImgs/4.png""]","[""PracImgs/6.png""]","z","false"
"6","bouba-kiki","PracSounds/5.wav","m","[""PracImgs/3.png""]","[""PracImgs/5.png""]","m","true"
"7","bouba-kiki","PracSounds/1.wav","z","[""PracImgs/1.png""]","[""PracImgs/2.png""]","z","true"
"8","bouba-kiki","PracSounds/7.wav","control","[""PracImgs/7.png""]","[""PracImgs/8.png""]","z","false"
"9","bouba-kiki","PracSounds/2.wav","z","[""PracImgs/2.png""]","[""PracImgs/6.png""]","z","true"
"10","bouba-kiki","PracSounds/5.wav","m","[""PracImgs/7.png""]","[""PracImgs/5.png""]","m","true"
"11","bouba-kiki","PracSounds/1.wav","z","[""PracImgs/1.png""]","[""PracImgs/3.png""]","z","true"
"12","bouba-kiki","PracSounds/4.wav","z","[""PracImgs/4.png""]","[""PracImgs/8.png""]","z","true"
