"","ID","Sex","Race","Age","Range","X","trial_num","image_ID_targets","image_ID_pairs","response_pairs","target_global","target_local","target_number","target_spacing","target_confound","pair_left_global","pair_left_local","pair_left_number","pair_right_global","pair_right_local","pair_right_number","choice","choice_number","global","local","GminusL","LG_group"
"1","blg006","M","White",5,"5",1,1,"1.png","1.png","z","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"local",0,2,22,-20,"local"
"2","blg006","M","White",5,"5",2,2,"9.png","3.png","z","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"global",1,2,22,-20,"local"
"3","blg006","M","White",5,"5",3,3,"5.png","1.png","z","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"local",0,2,22,-20,"local"
"4","blg006","M","White",5,"5",4,4,"10.png","4.png","z","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"local",0,2,22,-20,"local"
"5","blg006","M","White",5,"5",5,5,"11_R.png","3_R.png","m","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"local",0,2,22,-20,"local"
"6","blg006","M","White",5,"5",6,6,"8.png","2.png","m","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"local",0,2,22,-20,"local"
"7","blg006","M","White",5,"5",7,7,"2.png","2.png","z","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"local",0,2,22,-20,"local"
"8","blg006","M","White",5,"5",8,8,"9_R.png","3_R.png","z","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"local",0,2,22,-20,"local"
"9","blg006","M","White",5,"5",9,9,"2_R.png","2_R.png","m","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"local",0,2,22,-20,"local"
"10","blg006","M","White",5,"5",10,10,"4_R.png","2_R.png","z","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"local",0,2,22,-20,"local"
"11","blg006","M","White",5,"5",11,11,"6.png","2.png","z","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"local",0,2,22,-20,"local"
"12","blg006","M","White",5,"5",12,12,"7.png","1.png","m","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"local",0,2,22,-20,"local"
"13","blg006","M","White",5,"5",13,13,"12_R.png","4_R.png","z","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"local",0,2,22,-20,"local"
"14","blg006","M","White",5,"5",14,14,"12.png","4.png","m","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"local",0,2,22,-20,"local"
