"","ID","Age","Range","Race","Sex","X","trial_type","stimulus","response","left_image","right_image","correct_response","correct","sound","shape_choice"
"1","blg007",8,"6 to 8","White","M",1,"bouba-kiki","sound/baba_rep.wav","m","[""img/bouba_7_L_white.png""]","[""img/kiki_7_L_white.png""]","z",0,"round",0
"2","blg007",8,"6 to 8","White","M",2,"bouba-kiki","sound/teetee.wav","m","[""img/kiki_3_L_white.png""]","[""img/bouba_3_L_white.png""]","z",0,"spiky",1
"3","blg007",8,"6 to 8","White","M",3,"bouba-kiki","sound/teetee.wav","z","[""img/bouba_7_S_white.png""]","[""img/kiki_7_S_white.png""]","m",0,"spiky",1
"4","blg007",8,"6 to 8","White","M",4,"bouba-kiki","sound/gaga_rep.wav","m","[""img/kiki_7_L_white.png""]","[""img/bouba_7_L_white.png""]","m",1,"round",1
"5","blg007",8,"6 to 8","White","M",5,"bouba-kiki","sound/gaga_rep.wav","z","[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]","z",1,"round",1
"6","blg007",8,"6 to 8","White","M",6,"bouba-kiki","sound/keekee.wav","m","[""img/bouba_3_L_white.png""]","[""img/kiki_3_L_white.png""]","m",1,"spiky",0
"7","blg007",8,"6 to 8","White","M",7,"bouba-kiki","sound/baba_rep.wav","z","[""img/kiki_3_L_white.png""]","[""img/bouba_3_L_white.png""]","m",0,"round",0
"8","blg007",8,"6 to 8","White","M",8,"bouba-kiki","sound/keekee.wav","z","[""img/kiki_3_S_white.png""]","[""img/bouba_3_S_white.png""]","z",1,"spiky",0
"9","blg007",8,"6 to 8","White","M",9,"bouba-kiki","sound/gaga_rep.wav","m","[""img/bouba_3_L_white.png""]","[""img/kiki_3_L_white.png""]","z",0,"round",0
"10","blg007",8,"6 to 8","White","M",10,"bouba-kiki","sound/teetee.wav","m","[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]","m",1,"spiky",0
"11","blg007",8,"6 to 8","White","M",11,"bouba-kiki","sound/baba_rep.wav","z","[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]","z",1,"round",1
