"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"6_R.png","2_R.png","m"
"2",2,"8.png","2.png","z"
"3",3,"6.png","2.png","m"
"4",4,"9.png","3.png","z"
"5",5,"5_R.png","1_R.png","z"
"6",6,"7_R.png","1_R.png","m"
"7",7,"10.png","4.png","z"
"8",8,"1_R.png","1_R.png","z"
"9",9,"11_R.png","3_R.png","m"
"10",10,"7.png","1.png","z"
"11",11,"2_R.png","2_R.png","m"
"12",12,"5.png","1.png","m"
"13",13,"12_R.png","4_R.png","m"
"14",14,"12.png","4.png","z"
"15",15,"4.png","2.png","z"
"16",16,"10_R.png","4_R.png","z"
"17",17,"3_R.png","1_R.png","m"
"18",18,"8_R.png","2_R.png","m"
"19",19,"9_R.png","3_R.png","m"
"20",20,"11.png","3.png","m"
"21",21,"1.png","1.png","m"
"22",22,"4_R.png","2_R.png","m"
"23",23,"3.png","1.png","z"
"24",24,"2.png","2.png","z"
