"","trial_type","stimulus","response","left_image","right_image","correct_response","correct"
"1","bouba-kiki","PracSounds/6.wav","null","[""PracImgs/3.png""]","[""PracImgs/6.png""]","m",""
"2","bouba-kiki","PracSounds/7.wav","null","[""PracImgs/8.png""]","[""PracImgs/7.png""]","m",""
"3","bouba-kiki","PracSounds/4.wav","null","[""PracImgs/4.png""]","[""PracImgs/2.png""]","z",""
"4","bouba-kiki","PracSounds/1.wav","null","[""PracImgs/5.png""]","[""PracImgs/1.png""]","m",""
"5","bouba-kiki","PracSounds/5.wav","null","[""PracImgs/4.png""]","[""PracImgs/5.png""]","m",""
"6","bouba-kiki","PracSounds/2.wav","null","[""PracImgs/1.png""]","[""PracImgs/2.png""]","m",""
"7","bouba-kiki","PracSounds/7.wav","null","[""PracImgs/7.png""]","[""PracImgs/8.png""]","z",""
"8","bouba-kiki","PracSounds/3.wav","null","[""PracImgs/3.png""]","[""PracImgs/6.png""]","z",""
"9","bouba-kiki","PracSounds/6.wav","null","[""PracImgs/5.png""]","[""PracImgs/6.png""]","m",""
"10","bouba-kiki","PracSounds/8.wav","l","[""PracImgs/8.png""]","[""PracImgs/7.png""]","z","false"
"11","bouba-kiki","PracSounds/3.wav","null","[""PracImgs/3.png""]","[""PracImgs/1.png""]","z",""
"12","bouba-kiki","PracSounds/4.wav","null","[""PracImgs/4.png""]","[""PracImgs/2.png""]","z",""
"13","bouba-kiki","PracSounds/6.wav"," ","[""PracImgs/1.png""]","[""PracImgs/6.png""]","m","false"
"14","bouba-kiki","PracSounds/4.wav"," ","[""PracImgs/4.png""]","[""PracImgs/2.png""]","z","false"
"15","bouba-kiki","PracSounds/5.wav","backspace","[""PracImgs/8.png""]","[""PracImgs/5.png""]","m","false"
"16","bouba-kiki","PracSounds/3.wav","backspace","[""PracImgs/7.png""]","[""PracImgs/3.png""]","m","false"
