"","trial_type","stimulus","response","left_image","right_image","correct_response","correct"
"1","bouba-kiki","PracSounds/8.wav","null","[""PracImgs/8.png""]","[""PracImgs/1.png""]","z",""
"2","bouba-kiki","PracSounds/4.wav","m","[""PracImgs/4.png""]","[""PracImgs/3.png""]","z","false"
"3","bouba-kiki","PracSounds/2.wav","m","[""PracImgs/2.png""]","[""PracImgs/7.png""]","z","false"
"4","bouba-kiki","PracSounds/5.wav","z","[""PracImgs/6.png""]","[""PracImgs/5.png""]","m","false"
"5","bouba-kiki","PracSounds/1.wav","m","[""PracImgs/2.png""]","[""PracImgs/1.png""]","m","true"
"6","bouba-kiki","PracSounds/5.wav","z","[""PracImgs/7.png""]","[""PracImgs/5.png""]","m","false"
"7","bouba-kiki","PracSounds/6.wav","m","[""PracImgs/6.png""]","[""PracImgs/8.png""]","z","false"
"8","bouba-kiki","PracSounds/4.wav","m","[""PracImgs/4.png""]","[""PracImgs/3.png""]","z","false"
"9","bouba-kiki","PracSounds/6.wav","z","[""PracImgs/7.png""]","[""PracImgs/6.png""]","m","false"
"10","bouba-kiki","PracSounds/1.wav","m","[""PracImgs/1.png""]","[""PracImgs/8.png""]","z","false"
"11","bouba-kiki","PracSounds/2.wav","z","[""PracImgs/4.png""]","[""PracImgs/2.png""]","m","false"
"12","bouba-kiki","PracSounds/5.wav","m","[""PracImgs/3.png""]","[""PracImgs/5.png""]","m","true"
"13","bouba-kiki","PracSounds/6.wav","z","[""PracImgs/5.png""]","[""PracImgs/6.png""]","m","false"
"14","bouba-kiki","PracSounds/4.wav","m","[""PracImgs/4.png""]","[""PracImgs/8.png""]","z","false"
"15","bouba-kiki","PracSounds/2.wav","z","[""PracImgs/2.png""]","[""PracImgs/7.png""]","z","true"
"16","bouba-kiki","PracSounds/3.wav","m","[""PracImgs/3.png""]","[""PracImgs/1.png""]","z","false"
