"ID","group","prac_score","N_Ptrials"
"bko001","adult",NA,5
"bko002","adult",NA,4
"bko004","adult",NA,4
"bko006","adult",NA,4
"bko007","adult",NA,16
"bko009","adult",NA,4
"bko010","adult",NA,16
"bko011","adult",NA,4
"bko012","adult",NA,4
"bko013","adult",NA,6
"bko014","adult",NA,4
"bko015","adult",NA,4
"bko016","adult",NA,4
"bko018","adult",NA,6
"bko019","adult",NA,5
"bko020","adult",NA,4
"bko021","adult",NA,7
"bko022","adult",NA,7
"bko024","adult",NA,16
"bko025","adult",NA,4
"bko026","adult",NA,13
"bko027","adult",NA,5
"bko028","adult",NA,4
"blg001","child",NA,6
"blg002","child",NA,4
"blg004","child",NA,16
"blg005","child",NA,4
"blg006","child",NA,4
"blg007","child",NA,4
"blg008","child",NA,4
"blg009","child",NA,5
"blg010","child",NA,4
"blg011","child",NA,4
"blg012","child",NA,4
"blg013","child",NA,4
"blg014","child",NA,4
"blg015","child",NA,4
"blg016","child",NA,4
"blg017","child",NA,4
"blg018","child",NA,4
"blg019","child",NA,4
"blg020","child",NA,4
"blg022","child",NA,4
"blg023","child",NA,7
