"","X","trial_num","image_ID_targets","image_ID_pairs","response_pairs","ID","target_global","target_local","target_number","target_spacing","target_confound","pair_left_global","pair_left_local","pair_left_number","pair_right_global","pair_right_local","pair_right_number","Age","Range","choice","choice_number"
"1",1,1,"1.png","1.png","z","blg006","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"5","5","local",0
"2",2,2,"9.png","3.png","z","blg006","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"5","5","global",1
"3",3,3,"5.png","1.png","z","blg006","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"5","5","local",0
"4",4,4,"10.png","4.png","z","blg006","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"5","5","local",0
"5",5,5,"11_R.png","3_R.png","m","blg006","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"5","5","local",0
"6",6,6,"8.png","2.png","m","blg006","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"5","5","local",0
"7",7,7,"2.png","2.png","z","blg006","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"5","5","local",0
"8",8,8,"9_R.png","3_R.png","z","blg006","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"5","5","local",0
"9",9,9,"2_R.png","2_R.png","m","blg006","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"5","5","local",0
"10",10,10,"4_R.png","2_R.png","z","blg006","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"5","5","local",0
"11",11,11,"6.png","2.png","z","blg006","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"5","5","local",0
"12",12,12,"7.png","1.png","m","blg006","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"5","5","local",0
"13",13,13,"12_R.png","4_R.png","z","blg006","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"5","5","local",0
"14",14,14,"12.png","4.png","m","blg006","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"5","5","local",0
"15",15,15,"3_R.png","1_R.png","m","blg006","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"5","5","global",1
"16",16,16,"4.png","2.png","m","blg006","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"5","5","local",0
"17",17,17,"3.png","1.png","m","blg006","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"5","5","local",0
"18",18,18,"5_R.png","1_R.png","m","blg006","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"5","5","local",0
"19",19,19,"7_R.png","1_R.png","z","blg006","triangle","triangle",3,"spaced",0,"square","triangle",9,"triangle","square",6,"5","5","local",0
"20",20,20,"10_R.png","4_R.png","m","blg006","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"5","5","local",0
"21",21,21,"6_R.png","2_R.png","m","blg006","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"5","5","local",0
"22",22,22,"8_R.png","2_R.png","z","blg006","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"5","5","local",0
"23",23,23,"1_R.png","1_R.png","m","blg006","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"5","5","local",0
"24",24,24,"11.png","3.png","z","blg006","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"5","5","local",0
"25",1,1,"3.png","1.png","m","blg007","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","local",0
"26",2,2,"9.png","3.png","m","blg007","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"8","6 to 8","local",0
"27",3,3,"8_R.png","2_R.png","z","blg007","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","local",0
"28",4,4,"10.png","4.png","z","blg007","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"8","6 to 8","local",0
"29",5,5,"11.png","3.png","z","blg007","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"8","6 to 8","local",0
"30",6,6,"12.png","4.png","m","blg007","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"8","6 to 8","local",0
"31",7,7,"6.png","2.png","m","blg007","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","global",1
"32",8,8,"4.png","2.png","m","blg007","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","local",0
"33",9,9,"10_R.png","4_R.png","m","blg007","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"8","6 to 8","local",0
"34",10,10,"1_R.png","1_R.png","m","blg007","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","local",0
"35",11,11,"2.png","2.png","m","blg007","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","global",1
"36",12,12,"2_R.png","2_R.png","m","blg007","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","local",0
"37",13,13,"5.png","1.png","z","blg007","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","local",0
"38",14,14,"5_R.png","1_R.png","m","blg007","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","local",0
"39",15,15,"3_R.png","1_R.png","z","blg007","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","local",0
"40",16,16,"12_R.png","4_R.png","m","blg007","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"8","6 to 8","global",1
"41",17,17,"7_R.png","1_R.png","z","blg007","triangle","triangle",3,"spaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","local",0
"42",18,18,"1.png","1.png","z","blg007","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","local",0
"43",19,19,"11_R.png","3_R.png","z","blg007","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"8","6 to 8","global",1
"44",20,20,"4_R.png","2_R.png","z","blg007","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","local",0
"45",21,21,"9_R.png","3_R.png","z","blg007","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"8","6 to 8","local",0
"46",22,22,"8.png","2.png","m","blg007","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","local",0
"47",23,23,"7.png","1.png","m","blg007","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","local",0
"48",24,24,"6_R.png","2_R.png","m","blg007","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","local",0
"49",1,1,"7_R.png","1_R.png","z","blg008","triangle","triangle",3,"spaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","local",0
"50",2,2,"7.png","1.png","z","blg008","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","global",1
"51",3,3,"1_R.png","1_R.png","z","blg008","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","global",1
"52",4,4,"10.png","4.png","m","blg008","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"8","6 to 8","global",1
"53",5,5,"12.png","4.png","z","blg008","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"8","6 to 8","global",1
"54",6,6,"6.png","2.png","z","blg008","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","local",0
"55",7,7,"4_R.png","2_R.png","m","blg008","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","global",1
"56",8,8,"11_R.png","3_R.png","z","blg008","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"8","6 to 8","global",1
"57",9,9,"10_R.png","4_R.png","z","blg008","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"8","6 to 8","global",1
"58",10,10,"2.png","2.png","m","blg008","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","global",1
